inscricao,nota_final_fase_2
 10025774,87.50 
 10027005, 97.50 
 10027366, 97.50 
 10021757, 97.50 
 10000602, 97.50 
 10004962, 97.50 
 10028755, 97.50 
 10012865, 97.50 
 10009519, 97.50 
 10028249, 97.50 
 10022893, 97.50 
 10025916, 97.50 
 10004537, 97.50 
 10016037, 97.50 
 10011772, 97.50 
 10015472, 97.50 
 10009303, 97.50 
 10011272, 95.50 
 10025098, 95.50 
 10021338, 95.50 
 10005210, 95.50 
 10011701, 95.50 
 10002004, 95.50 
 10014757, 95.50 
 10031697, 95.50 
 10013800, 95.50 
 10027872, 95.50 
 10018234, 95.50 
 10018744, 95.50 
 10004994, 95.50 
 10026171, 95.50 
 10021452, 95.50 
 10020096, 95.50 
 10002706, 95.50 
 10028738, 95.50 
 10020742, 95.50 
 10023329, 95.50 
 10002007, 95.50 
 10010267, 95.50 
 10025557, 95.50 
 10002820, 95.50 
 10008504, 95.50 
 10024476, 95.50 
 10031417, 95.50 
 10026031, 95.50 
 10005729, 95.50 
 10014512, 95.50 
 10031421, 95.50 
 10014121, 95.50 
 10016203, 95.50 
 10028004, 95.50 
 10031054, 95.50 
 10023634, 95.50 
 10022969, 95.50 
 10013045, 95.50 
 10011394, 95.50 
 10027047, 95.50 
 10020547, 95.50 
 10007398, 95.00 
 10014258, 95.00 
 10014704, 95.00 
 10013734, 95.00 
 10010369, 95.00 
 10012621, 95.00 
 10029570, 95.00 
 10029596, 95.00 
 10028618, 95.00 
 10019746, 95.00 
 10004449, 95.00 
 10011332, 95.00 
 10020037, 95.00 
 10019147, 95.00 
 10026755, 95.00 
 10023425, 95.00 
 10018912, 95.00 
 10009368, 95.00 
 10000821, 95.00 
 10008090, 95.00 
 10009152, 95.00 
 10017900, 95.00 
 10013581, 95.00 
 10007133, 95.00 
 10022720, 95.00 
 10007283, 95.00 
 10001923, 95.00 
 10018201, 95.00 
 10020432, 95.00 
 10015357, 95.00 
 10016642, 95.00 
 10017169, 95.00 
 10023348, 95.00 
 10002865, 95.00 
 10024157, 95.00 
 10012771, 95.00 
 10031155, 95.00 
 10017234, 95.00 
 10001553, 95.00 
 10023200, 95.00 
 10010075, 95.00 
 10002278, 95.00 
 10024077, 95.00 
 10006895, 94.67 
 10028682, 94.67 
 10026255, 94.67 
 10011566, 94.67 
 10027498, 94.67 
 10006504, 94.67 
 10004410, 94.67 
 10015066, 94.67 
 10003225, 94.67 
 10014070, 94.67 
 10007775, 94.67 
 10011609, 94.67 
 10027843, 94.67 
 10014077, 94.67 
 10008977, 94.67 
 10004727, 94.67 
 10005268, 94.67 
 10013580, 94.67 
 10011595, 94.67 
 10028225, 94.67 
 10020010, 94.67 
 10027545, 94.67 
 10007991, 94.67 
 10016707, 94.67 
 10001406, 94.67 
 10032042, 94.67 
 10006979, 94.67 
 10022728, 94.67 
 10000551, 94.67 
 10025658, 94.67 
 10001486, 94.67 
 10002334, 94.67 
 10013840, 94.67 
 10013059, 94.67 
 10021204, 94.67 
 10019273, 94.67 
 10015082, 94.67 
 10019795, 94.67 
 10009248, 94.67 
 10021230, 94.67 
 10019321, 94.67 
 10020001, 94.67 
 10014602, 94.67 
 10011741, 94.67 
 10016669, 94.67 
 10014009, 94.67 
 10016899, 94.67 
 10010538, 94.67 
 10005483, 94.67 
 10003408, 94.67 
 10027187, 94.67 
 10005066, 94.67 
 10002520, 94.67 
 10002098, 94.67 
 10021016, 94.67 
 10018969, 94.67 
 10003490, 94.67 
 10012253, 94.67 
 10006841, 94.67 
 10012886, 94.67 
 10002019, 94.67 
 10002927, 94.67 
 10019845, 94.67 
 10015450, 94.67 
 10023851, 94.67 
 10020676, 94.67 
 10017079, 94.67 
 10014142, 94.67 
 10020901, 94.67 
 10026987, 94.67 
 10027426, 94.67 
 10015102, 94.67 
 10008612, 94.67 
 10018138, 94.67 
 10011753, 94.67 
 10030106, 94.67 
 10019520, 94.67 
 10028880, 94.67 
 10031599, 94.67 
 10001133, 94.67 
 10028043, 94.67 
 10003167, 94.67 
 10010456, 94.67 
 10008361, 94.67 
 10020385, 94.67 
 10021440, 94.67 
 10021270, 94.67 
 10023570, 94.67 
 10001660, 94.67 
 10022260, 94.67 
 10021194, 94.67 
 10027622, 94.67 
 10011524, 94.67 
 10010998, 94.67 
 10001774, 94.67 
 10024312, 94.67 
 10013201, 94.00 
 10006672, 94.00 
 10030549, 94.00 
 10019319, 94.00 
 10016339, 93.00 
 10014156, 93.00 
 10029765, 93.00 
 10010558, 92.50 
 10010783, 92.50 
 10021210, 92.50 
 10017506, 92.50 
 10022606, 92.50 
 10007965, 92.50 
 10031241, 92.50 
 10024909, 92.50 
 10014269, 92.50 
 10010308, 92.50 
 10006108, 92.50 
 10013544, 92.50 
 10003430, 92.50 
 10027511, 92.50 
 10013724, 92.50 
 10017868, 92.50 
 10025537, 92.50 
 10016779, 92.50 
 10016808, 92.50 
 10000942, 92.50 
 10009532, 92.50 
 10000331, 92.50 
 10024185, 92.50 
 10007370, 92.50 
 10021304, 92.50 
 10002968, 92.50 
 10005216, 92.50 
 10023742, 92.50 
 10027955, 92.50 
 10025575, 92.50 
 10026062, 92.50 
 10030729, 92.50 
 10012841, 92.50 
 10022996, 92.50 
 10016556, 92.50 
 10015692, 92.50 
 10001001, 92.50 
 10021481, 92.50 
 10032266, 92.50 
 10032221, 92.50 
 10015205, 92.50 
 10019493, 92.50 
 10016592, 92.50 
 10011350, 92.50 
 10015506, 92.50 
 10001104, 92.50 
 10029559, 92.50 
 10011938, 92.50 
 10012071, 92.50 
 10028204, 92.50 
 10002852, 92.50 
 10016662, 92.50 
 10032192, 92.50 
 10014386, 92.50 
 10031504, 92.50 
 10020374, 92.50 
 10001487, 92.50 
 10019279, 92.50 
 10017558, 92.50 
 10010678, 92.50 
 10024328, 92.50 
 10029179, 92.50 
 10026185, 92.50 
 10022114, 92.50 
 10007915, 92.50 
 10001007, 92.50 
 10022578, 92.50 
 10002516, 92.50 
 10008854, 92.50 
 10023860, 92.50 
 10026436, 92.50 
 10021222, 92.50 
 10019602, 92.50 
 10016887, 92.50 
 10030469, 92.50 
 10032563, 92.50 
 10028770, 92.50 
 10017207, 92.50 
 10029415, 92.50 
 10011921, 92.50 
 10023408, 92.50 
 10021376, 92.50 
 10027272, 92.50 
 10005999, 92.50 
 10012084, 92.50 
 10009468, 92.50 
 10030417, 92.50 
 10030224, 92.50 
 10008199, 92.50 
 10004337, 92.50 
 10027833, 92.50 
 10012471, 92.50 
 10021806, 92.17 
 10006974, 92.17 
 10015565, 92.17 
 10000991, 92.17 
 10022256, 92.00 
 10009359, 92.00 
 10025228, 92.00 
 10022180, 92.00 
 10022774, 92.00 
 10006541, 92.00 
 10025950, 92.00 
 10023398, 92.00 
 10002872, 92.00 
 10021287, 92.00 
 10017343, 92.00 
 10000607, 92.00 
 10018921, 92.00 
 10025282, 92.00 
 10011558, 92.00 
 10000967, 92.00 
 10029127, 92.00 
 10030257, 92.00 
 10019776, 92.00 
 10014329, 92.00 
 10010769, 92.00 
 10013335, 92.00 
 10023347, 91.00 
 10029886, 91.00 
 10008955, 91.00 
 10008532, 91.00 
 10020309, 90.50 
 10002765, 90.50 
 10018444, 90.50 
 10017795, 90.50 
 10002446, 90.50 
 10011923, 90.50 
 10020569, 90.17 
 10004234, 90.17 
 10013053, 90.17 
 10001338, 90.17 
 10017828, 90.17 
 10019771, 90.17 
 10002367, 90.17 
 10020174, 90.00 
 10026433, 90.00 
 10005559, 90.00 
 10019728, 90.00 
 10020301, 90.00 
 10026090, 90.00 
 10031980, 90.00 
 10021770, 90.00 
 10023091, 9.83 
 10026627, 9.50 
 10010266, 9.00 
 10030602, 9.00 
 10025712, 9.00 
 10002331, 9.00 
 10031016, 9.00 
 10029373, 9.00 
 10012662, 9.00 
 10032057, 9.00 
 10004722, 9.00 
 10031189, 9.00 
 10015079, 9.00 
 10029940, 9.00 
 10013249, 9.00 
 10000769, 9.00 
 10028572, 9.00 
 10029018, 9.00 
 10018087, 9.00 
 10000094, 89.67 
 10029745, 89.67 
 10000692, 89.67 
 10016614, 89.67 
 10020194, 89.67 
 10019371, 89.67 
 10028640, 89.67 
 10018529, 89.67 
 10012296, 89.67 
 10012142, 89.67 
 10022448, 89.67 
 10002898, 89.67 
 10007355, 89.67 
 10017825, 89.67 
 10018515, 89.67 
 10024263, 89.67 
 10026506, 89.50 
 10015405, 89.50 
 10025388, 89.50 
 10002826, 89.50 
 10023943, 89.50 
 10031609, 89.33 
 10032491, 89.33 
 10031369, 89.33 
 10001336, 89.33 
 10003024, 89.00 
 10022361, 88.67 
 10022261, 88.00 
 10030291, 88.00 
 10003847, 88.00 
 10028547, 88.00 
 10018961, 88.00 
 10009608, 88.00 
 10001864, 88.00 
 10024401, 88.00 
 10024860, 88.00 
 10014320, 88.00 
 10009635, 88.00 
 10001575, 88.00 
 10006734, 88.00 
 10028595, 88.00 
 10009348, 88.00 
 10018883, 88.00
 10006523, 87.50 
 10007315, 87.50 
 10011214, 87.50 
 10023277, 87.50 
 10011744, 87.50 
 10004209, 87.50 
 10018488, 87.50 
 10017545, 87.50 
 10025869, 87.50 
 10031617, 87.50 
 10020012, 87.50 
 10010694, 87.50 
 10016124, 87.50 
 10005613, 87.50 
 10021385, 87.50 
 10000223, 87.50 
 10009831, 87.50 
 10018780, 87.50 
 10028432, 87.50 
 10018210, 87.50 
 10001305, 87.50 
 10021568, 87.50 
 10021703, 87.50 
 10002909, 87.50 
 10017691, 87.50 
 10014408, 87.50 
 10002963, 87.50 
 10014469, 87.50 
 10024195, 87.50 
 10004851, 87.50 
 10023697, 87.50 
 10009572, 87.50 
 10031924, 87.50 
 10030615, 87.50 
 10023880, 87.17 
 10004203, 87.17 
 10029562, 87.17 
 10015913, 87.17 
 10023709, 87.17 
 10012931, 87.17 
 10015330, 87.17 
 10021101, 87.17 
 10002301, 87.17 
 10000123, 87.17 
 10031961, 87.17 
 10015452, 87.17 
 10005088, 87.17 
 10023590, 87.17 
 10019812, 87.17 
 10009140, 87.17 
 10012906, 87.17 
 10013957, 87.17 
 10000212, 87.17 
 10025276, 87.17 
 10014917, 87.17 
 10017409, 87.17 
 10024203, 87.17 
 10030365, 87.17 
 10017003, 87.17 
 10023285, 87.17 
 10023017, 87.17 
 10004683, 87.17 
 10004429, 87.17 
 10024579, 87.17 
 10015764, 87.17 
 10012374, 87.17 
 10002481, 87.17 
 10016717, 87.17 
 10000800, 87.17 
 10017981, 87.17 
 10030604, 87.17 
 10029686, 87.00 
 10022808, 87.00 
 10003391, 87.00 
 10007269, 87.00 
 10001711, 87.00 
 10019980, 87.00 
 10003687, 87.00 
 10028436, 87.00 
 10021417, 86.83 
 10011462, 86.67 
 10014706, 86.67 
 10030473, 86.67 
 10023632, 86.67 
 10016664, 86.67 
 10009504, 86.67 
 10020953, 86.67 
 10029959, 86.67 
 10004437, 86.67 
 10032137, 86.67 
 10000903, 86.67 
 10027865, 86.67 
 10001123, 86.67 
 10004939, 86.67 
 10002519, 86.67 
 10013285, 86.67 
 10024484, 86.67 
 10018922, 86.67 
 10002596, 86.67 
 10002396, 86.67 
 10014133, 86.67 
 10017929, 86.67 
 10000260, 86.67 
 10025811, 86.67 
 10028437, 86.67 
 10000392, 86.67 
 10017516, 86.67 
 10005702, 86.67 
 10025362, 86.67 
 10024226, 86.67 
 10016245, 86.67 
 10028586, 86.67 
 10008643, 86.67 
 10004998, 86.67 
 10032150, 86.67 
 10023762, 86.67 
 10019223, 86.67 
 10000410, 86.67 
 10013270, 86.67 
 10008073, 86.67 
 10010051, 86.67 
 10029775, 86.67 
 10030038, 86.67 
 10007066, 86.67 
 10016734, 86.67 
 10019655, 86.67 
 10010426, 86.00 
 10020807, 85.67 
 10016966, 85.67 
 10014918, 85.50 
 10005293, 85.50 
 10018310, 85.50 
 10000768, 85.17 
 10029621, 85.00 
 10021742, 85.00 
 10004588, 85.00 
 10004455, 85.00 
 10015425, 85.00 
 10000690, 85.00 
 10007958, 85.00 
 10020031, 85.00 
 10005217, 85.00 
 10006172, 85.00 
 10019364, 85.00 
 10016157, 85.00 
 10000190, 85.00 
 10011199, 85.00 
 10007479, 85.00 
 10024804, 85.00 
 10009087, 85.00 
 10001771, 85.00 
 10023373, 85.00 
 10022352, 84.83 
 10020025, 84.67 
 10018614, 84.67 
 10015712, 84.67 
 10012633, 84.67 
 10010373, 84.67 
 10010031, 84.67 
 10009726, 84.50 
 10025128, 84.50 
 10025810, 84.50 
 10020290, 84.50 
 10008137, 84.50 
 10016861, 84.50 
 10000470, 84.50 
 10018809, 84.50 
 10028430, 84.50 
 10029973, 84.50 
 10006894, 84.50 
 10011484, 84.50 
 10001690, 84.17 
 10003712, 84.17 
 10001279, 84.00 
 10023781, 84.00 
 10001032, 84.00 
 10012632, 84.00 
 10020843, 83.50 
 10008005, 83.50 
 10024233, 83.50 
